LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000135,0.0,0.3888888888888889,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.1111111111111111,18
E01000136,0.2,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.2,0.2,15
E01000137,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.46153846153846156,0.23076923076923078,13
E01000138,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.18181818181818182,11
E01000139,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.38461538461538464,0.23076923076923078,13
E01000140,0.0,0.16666666666666666,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.2777777777777778,18
E01000141,0.04854368932038835,0.07766990291262135,0.038834951456310676,0.0,0.019417475728155338,0.11650485436893204,0.009708737864077669,0.2621359223300971,0.22330097087378642,0.20388349514563106,103
E01000142,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.46153846153846156,0.15384615384615385,13
E01000143,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.09090909090909091,0.36363636363636365,22
E01000144,0.1724137931034483,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.27586206896551724,29
E01000145,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.5263157894736842,19
E01000146,0.14285714285714285,0.08163265306122448,0.0,0.0,0.0,0.04081632653061224,0.04081632653061224,0.3469387755102041,0.04081632653061224,0.30612244897959184,49
E01000147,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,9
E01000148,0.11627906976744186,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.20930232558139536,0.16279069767441862,0.3488372093023256,43
E01000150,0.0,0.1111111111111111,0.018518518518518517,0.037037037037037035,0.0,0.05555555555555555,0.0,0.42592592592592593,0.2777777777777778,0.07407407407407407,54
E01000151,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.5,36
E01000152,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3888888888888889,18
E01000153,0.045454545454545456,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.5,22
E01000154,0.05555555555555555,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.6666666666666666,18
E01000155,0.18181818181818182,0.06060606060606061,0.0,0.0,0.0,0.09090909090909091,0.06060606060606061,0.15151515151515152,0.09090909090909091,0.36363636363636365,66
E01000156,0.125,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.20833333333333334,24
E01000157,0.0,0.2,0.0,0.0,0.0,0.1,0.15,0.05,0.2,0.3,20
E01000158,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.23333333333333334,30
E01000159,0.16666666666666666,0.125,0.16666666666666666,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.2916666666666667,0.08333333333333333,24
E01000160,0.12121212121212122,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.12121212121212122,0.2727272727272727,0.2727272727272727,33
E01000161,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.3888888888888889,0.3333333333333333,18
E01000162,0.0,0.125,0.0,0.0,0.0,0.125,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.16666666666666666,24
E01000163,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,0.17391304347826086,0.43478260869565216,0.17391304347826086,23
E01000164,0.019417475728155338,0.02912621359223301,0.0,0.0,0.0,0.02912621359223301,0.019417475728155338,0.6699029126213593,0.1262135922330097,0.10679611650485436,103
E01000165,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.35714285714285715,14
E01000166,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.2,0.4666666666666667,0.06666666666666667,15
E01000167,0.125,0.0625,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.1875,16
E01000168,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,11
E01000169,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.5,0.05555555555555555,18
E01000170,0.2,0.1,0.0,0.0,0.0,0.05,0.0,0.25,0.3,0.1,20
E01000171,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,0.09803921568627451,0.0392156862745098,0.37254901960784315,0.2549019607843137,0.1568627450980392,51
E01000172,0.12,0.12,0.0,0.0,0.04,0.04,0.16,0.0,0.24,0.28,25
E01000173,0.19047619047619047,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.3333333333333333,0.14285714285714285,21
E01000174,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.23529411764705882,17
E01000175,0.0,0.125,0.125,0.0,0.0,0.0,0.0625,0.0625,0.5,0.125,16
E01000176,0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.16666666666666666,18
E01000177,0.0,0.17391304347826086,0.0,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565,0.43478260869565216,0.17391304347826086,23
E01000178,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.0,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.23809523809523808,21
E01000179,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.3684210526315789,0.42105263157894735,19
E01000180,0.13333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,15
